Peptide_Index	prediction_probability	prediction_label
651	0.6012717	1
652	0.52930045	1
653	0.52400583	1
654	0.5254988	1
655	0.51889044	1
656	0.5037281	1
657	0.52004147	1
658	0.52101475	1
659	0.5075977	1
660	0.52101254	1
661	0.54240286	1
662	0.53461623	1
663	0.6098903	1
664	0.53643286	1
665	0.5205543	1
666	0.6143685	1
668	0.5086105	1
669	0.50898176	1
670	0.51285744	1
673	0.52101475	1
674	0.5158242	1
675	0.5225403	1
676	0.52876437	1
677	0.53918236	1
679	0.51943904	1
680	0.5229254	1
681	0.50517136	1
682	0.50976735	1
683	0.5459008	1
684	0.5047386	1
685	0.511721	1
686	0.5157673	1
687	0.53703064	1
688	0.5156196	1
689	0.511943	1
690	0.5339615	1
691	0.5204568	1
693	0.53753465	1
695	0.6000185	1
696	0.52974266	1
698	0.53631264	1
699	0.5196606	1
700	0.5459029	1
701	0.5165129	1
703	0.51064974	1
704	0.5089796	1
705	0.5179077	1
706	0.520205	1
707	0.5131162	1
708	0.5086355	1
710	0.5244571	1
711	0.52101475	1
712	0.5112451	1
715	0.52546394	1
716	0.5225168	1
717	0.50858456	1
718	0.5181405	1
719	0.52101475	1
720	0.52101475	1
721	0.5168312	1
722	0.52101475	1
723	0.61699164	1
724	0.5225168	1
725	0.5243899	1
726	0.52101475	1
727	0.5869318	1
728	0.5422551	1
729	0.5139913	1
730	0.5141307	1
731	0.6098903	1
732	0.52101475	1
733	0.51674455	1
734	0.5133061	1
735	0.50783104	1
736	0.5250223	1
738	0.54087985	1
739	0.5292275	1
740	0.51045954	1
742	0.5175162	1
743	0.52876437	1
744	0.5205543	1
745	0.5387033	1
746	0.68607324	1
747	0.52975965	1
748	0.520205	1
749	0.52101475	1
750	0.5536015	1
751	0.52101475	1
752	0.5260239	1
753	0.54307896	1
756	0.5161411	1
757	0.58274764	1
758	0.572421	1
759	0.5184068	1
760	0.5179209	1
761	0.5200404	1
762	0.5055727	1
763	0.5326081	1
764	0.52835155	1
765	0.5303054	1
766	0.51506764	1
767	0.5603766	1
768	0.50900674	1
769	0.52875876	1
770	0.52429944	1
772	0.5006404	1
775	0.5454609	1
776	0.5070786	1
777	0.5638782	1
778	0.50810623	1
779	0.52303785	1
780	0.53730124	1
781	0.5214392	1
782	0.51647735	1
783	0.52875876	1
784	0.6378828	1
785	0.5008189	1
786	0.5285816	1
788	0.5830879	1
789	0.53151274	1
790	0.52005744	1
792	0.5064673	1
793	0.563043	1
794	0.51543593	1
795	0.5335477	1
796	0.5077232	1
797	0.6021597	1
798	0.52422416	1
799	0.52101475	1
800	0.5225168	1
801	0.5104438	1
802	0.5056047	1
803	0.5167539	1
804	0.53010833	1
805	0.5305778	1
806	0.6136406	1
807	0.5416367	1
808	0.5715096	1
809	0.5387563	1
812	0.55406755	1
813	0.5157026	1
814	0.5153342	1
815	0.52101475	1
816	0.5360078	1
817	0.6892653	1
819	0.52674353	1
820	0.5351924	1
821	0.51454014	1
822	0.5258351	1
823	0.5833204	1
824	0.52101475	1
825	0.50507075	1
826	0.6818245	1
827	0.50828886	1
828	0.539493	1
829	0.5217664	1
830	0.522111	1
831	0.52101475	1
832	0.6098903	1
834	0.60876477	1
836	0.60971504	1
838	0.5199377	1
839	0.5239751	1
